组间总显著性,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
PSTD+HC,1239.0,884.0,1262.0,
组间不同血红蛋白显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
oxy,386.0,282.0,411.0,
dxy,356.0,257.0,352.0,
total,497.0,345.0,499.0,
组间不同通道连接显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
334,2.0,1.0,3.0,
335,2.0,1.0,3.0,
336,3.0,3.0,3.0,
337,0.0,0.0,0.0,
338,0.0,0.0,0.0,
339,1.0,1.0,1.0,
340,0.0,0.0,0.0,
341,0.0,0.0,0.0,
342,0.0,0.0,0.0,
343,0.0,0.0,0.0,
344,0.0,0.0,0.0,
345,3.0,1.0,3.0,
346,0.0,0.0,0.0,
347,0.0,0.0,0.0,
348,6.0,4.0,6.0,
349,0.0,0.0,0.0,
350,0.0,0.0,0.0,
351,7.0,5.0,7.0,
352,0.0,0.0,0.0,
353,0.0,0.0,0.0,
354,5.0,4.0,4.0,
355,1.0,1.0,2.0,
356,1.0,1.0,2.0,
357,4.0,4.0,4.0,
358,1.0,1.0,1.0,
359,1.0,1.0,1.0,
360,0.0,0.0,0.0,
361,0.0,0.0,0.0,
362,0.0,0.0,0.0,
363,0.0,0.0,0.0,
364,2.0,2.0,3.0,
365,2.0,2.0,3.0,
366,1.0,0.0,0.0,
367,0.0,0.0,1.0,
368,0.0,0.0,1.0,
369,3.0,0.0,1.0,
370,2.0,2.0,3.0,
371,2.0,2.0,3.0,
372,0.0,0.0,0.0,
373,1.0,1.0,1.0,
374,1.0,1.0,1.0,
375,3.0,3.0,5.0,
376,2.0,1.0,2.0,
377,2.0,1.0,2.0,
378,0.0,0.0,0.0,
379,3.0,0.0,3.0,
380,3.0,0.0,3.0,
381,2.0,1.0,2.0,
382,2.0,2.0,1.0,
383,2.0,2.0,1.0,
384,2.0,2.0,2.0,
385,2.0,1.0,2.0,
386,2.0,1.0,2.0,
387,1.0,0.0,1.0,
388,0.0,0.0,0.0,
389,0.0,0.0,0.0,
390,0.0,0.0,0.0,
391,1.0,0.0,1.0,
392,1.0,0.0,1.0,
393,0.0,0.0,0.0,
394,0.0,0.0,0.0,
395,0.0,0.0,0.0,
396,0.0,0.0,0.0,
397,0.0,0.0,1.0,
398,0.0,0.0,1.0,
399,0.0,0.0,0.0,
400,0.0,0.0,0.0,
401,0.0,0.0,0.0,
402,1.0,1.0,1.0,
403,0.0,0.0,2.0,
404,0.0,0.0,2.0,
405,2.0,2.0,2.0,
406,0.0,0.0,0.0,
407,0.0,0.0,0.0,
408,0.0,0.0,0.0,
409,0.0,0.0,0.0,
410,0.0,0.0,0.0,
411,3.0,1.0,3.0,
412,1.0,1.0,1.0,
413,1.0,1.0,1.0,
414,1.0,1.0,1.0,
415,1.0,0.0,0.0,
416,1.0,0.0,0.0,
417,4.0,1.0,6.0,
418,0.0,0.0,0.0,
419,0.0,0.0,0.0,
420,0.0,0.0,0.0,
421,1.0,1.0,1.0,
422,1.0,1.0,1.0,
423,2.0,2.0,2.0,
424,2.0,1.0,1.0,
425,2.0,1.0,1.0,
426,0.0,0.0,0.0,
427,0.0,0.0,1.0,
428,0.0,0.0,1.0,
429,2.0,2.0,2.0,
430,1.0,1.0,1.0,
431,1.0,1.0,1.0,
432,0.0,0.0,0.0,
433,0.0,0.0,0.0,
434,0.0,0.0,0.0,
435,1.0,1.0,1.0,
436,1.0,1.0,2.0,
437,1.0,1.0,2.0,
438,5.0,1.0,4.0,
439,2.0,2.0,1.0,
440,2.0,2.0,1.0,
441,4.0,1.0,2.0,
442,0.0,0.0,0.0,
443,0.0,0.0,0.0,
444,3.0,2.0,4.0,
445,2.0,1.0,0.0,
446,2.0,1.0,0.0,
447,0.0,0.0,0.0,
448,1.0,1.0,1.0,
449,1.0,1.0,1.0,
450,5.0,1.0,5.0,
451,0.0,0.0,0.0,
452,0.0,0.0,0.0,
453,0.0,0.0,0.0,
454,4.0,4.0,4.0,
455,4.0,4.0,4.0,
456,0.0,0.0,0.0,
457,0.0,0.0,0.0,
458,0.0,0.0,0.0,
459,1.0,1.0,1.0,
460,3.0,2.0,3.0,
461,3.0,2.0,3.0,
462,0.0,0.0,2.0,
463,0.0,0.0,0.0,
464,0.0,0.0,0.0,
465,1.0,1.0,1.0,
466,0.0,0.0,1.0,
467,0.0,0.0,1.0,
468,1.0,1.0,1.0,
469,1.0,0.0,1.0,
470,1.0,0.0,1.0,
471,2.0,1.0,1.0,
472,0.0,0.0,0.0,
473,0.0,0.0,0.0,
474,1.0,0.0,0.0,
475,1.0,0.0,1.0,
476,1.0,0.0,1.0,
477,0.0,0.0,0.0,
478,3.0,1.0,4.0,
479,3.0,1.0,4.0,
480,2.0,1.0,1.0,
481,0.0,0.0,1.0,
482,0.0,0.0,1.0,
483,0.0,0.0,1.0,
484,1.0,1.0,1.0,
485,1.0,1.0,1.0,
486,0.0,0.0,0.0,
487,2.0,0.0,3.0,
488,2.0,0.0,3.0,
489,0.0,0.0,0.0,
490,1.0,1.0,0.0,
491,1.0,1.0,0.0,
492,0.0,0.0,0.0,
493,1.0,0.0,1.0,
494,1.0,0.0,1.0,
495,2.0,2.0,2.0,
496,0.0,0.0,0.0,
497,0.0,0.0,0.0,
498,1.0,1.0,0.0,
499,1.0,1.0,1.0,
500,1.0,1.0,1.0,
501,0.0,0.0,0.0,
502,0.0,0.0,1.0,
503,0.0,0.0,1.0,
504,0.0,0.0,0.0,
505,2.0,0.0,1.0,
506,2.0,0.0,1.0,
507,1.0,0.0,1.0,
508,0.0,0.0,0.0,
509,0.0,0.0,0.0,
510,0.0,0.0,0.0,
511,1.0,0.0,1.0,
512,1.0,0.0,1.0,
513,1.0,1.0,1.0,
514,0.0,0.0,0.0,
515,0.0,0.0,0.0,
516,0.0,0.0,0.0,
517,0.0,0.0,0.0,
518,0.0,0.0,0.0,
519,2.0,1.0,2.0,
520,0.0,0.0,0.0,
521,0.0,0.0,0.0,
522,0.0,0.0,0.0,
523,0.0,0.0,0.0,
524,0.0,0.0,0.0,
525,0.0,0.0,0.0,
526,0.0,0.0,0.0,
527,0.0,0.0,0.0,
528,1.0,0.0,0.0,
529,0.0,0.0,0.0,
530,0.0,0.0,0.0,
531,0.0,0.0,0.0,
532,0.0,0.0,0.0,
533,0.0,0.0,0.0,
534,0.0,0.0,0.0,
535,0.0,0.0,0.0,
536,0.0,0.0,0.0,
537,3.0,1.0,3.0,
538,3.0,3.0,3.0,
539,3.0,3.0,3.0,
540,1.0,0.0,3.0,
541,0.0,0.0,0.0,
542,0.0,0.0,0.0,
543,2.0,2.0,2.0,
544,3.0,2.0,3.0,
545,3.0,2.0,3.0,
546,0.0,0.0,0.0,
547,2.0,2.0,2.0,
548,2.0,2.0,2.0,
549,2.0,2.0,3.0,
550,1.0,0.0,0.0,
551,1.0,0.0,0.0,
552,2.0,1.0,2.0,
553,0.0,0.0,0.0,
554,0.0,0.0,0.0,
555,2.0,2.0,3.0,
556,0.0,0.0,0.0,
557,0.0,0.0,0.0,
558,2.0,2.0,2.0,
559,0.0,0.0,0.0,
560,0.0,0.0,0.0,
561,1.0,0.0,1.0,
562,0.0,0.0,0.0,
563,0.0,0.0,0.0,
564,0.0,0.0,0.0,
565,1.0,1.0,1.0,
566,1.0,1.0,1.0,
567,3.0,1.0,2.0,
568,1.0,1.0,1.0,
569,1.0,1.0,1.0,
570,4.0,4.0,3.0,
571,2.0,1.0,2.0,
572,2.0,1.0,2.0,
573,1.0,1.0,1.0,
574,1.0,1.0,1.0,
575,1.0,1.0,1.0,
576,1.0,1.0,1.0,
577,0.0,0.0,2.0,
578,0.0,0.0,2.0,
579,0.0,0.0,1.0,
580,0.0,0.0,0.0,
581,0.0,0.0,0.0,
582,1.0,1.0,1.0,
583,4.0,2.0,4.0,
584,4.0,2.0,4.0,
585,3.0,1.0,2.0,
586,0.0,0.0,0.0,
587,0.0,0.0,0.0,
588,0.0,0.0,1.0,
589,3.0,2.0,3.0,
590,3.0,2.0,3.0,
591,0.0,0.0,1.0,
592,0.0,0.0,1.0,
593,0.0,0.0,1.0,
594,0.0,0.0,0.0,
595,1.0,1.0,1.0,
596,1.0,1.0,1.0,
597,0.0,0.0,0.0,
598,0.0,0.0,0.0,
599,0.0,0.0,0.0,
600,1.0,1.0,1.0,
601,2.0,2.0,2.0,
602,2.0,2.0,2.0,
603,2.0,1.0,2.0,
604,1.0,1.0,1.0,
605,1.0,1.0,1.0,
606,0.0,0.0,0.0,
607,0.0,0.0,0.0,
608,0.0,0.0,0.0,
609,1.0,1.0,2.0,
610,0.0,0.0,0.0,
611,0.0,0.0,0.0,
612,1.0,0.0,0.0,
613,2.0,2.0,2.0,
614,2.0,2.0,2.0,
615,1.0,1.0,1.0,
616,0.0,0.0,0.0,
617,0.0,0.0,0.0,
618,1.0,1.0,0.0,
619,0.0,0.0,0.0,
620,0.0,0.0,0.0,
621,0.0,0.0,0.0,
622,0.0,0.0,0.0,
623,0.0,0.0,0.0,
624,1.0,0.0,3.0,
625,2.0,1.0,1.0,
626,2.0,1.0,1.0,
627,0.0,0.0,0.0,
628,1.0,1.0,1.0,
629,1.0,1.0,1.0,
630,4.0,4.0,3.0,
631,2.0,2.0,2.0,
632,2.0,2.0,2.0,
633,1.0,1.0,1.0,
634,0.0,0.0,0.0,
635,0.0,0.0,0.0,
636,0.0,0.0,0.0,
637,0.0,0.0,0.0,
638,0.0,0.0,0.0,
639,0.0,0.0,0.0,
640,1.0,0.0,1.0,
641,1.0,0.0,1.0,
642,1.0,1.0,1.0,
643,1.0,1.0,1.0,
644,1.0,1.0,1.0,
645,2.0,2.0,2.0,
646,0.0,0.0,0.0,
647,0.0,0.0,0.0,
648,0.0,0.0,0.0,
649,2.0,1.0,2.0,
650,2.0,1.0,2.0,
651,0.0,0.0,0.0,
652,1.0,1.0,1.0,
653,1.0,1.0,1.0,
654,0.0,0.0,0.0,
655,3.0,3.0,3.0,
656,3.0,3.0,3.0,
657,0.0,0.0,0.0,
658,3.0,3.0,2.0,
659,3.0,3.0,2.0,
660,2.0,1.0,3.0,
661,1.0,0.0,1.0,
662,1.0,0.0,1.0,
663,0.0,0.0,1.0,
664,0.0,0.0,0.0,
665,0.0,0.0,0.0,
666,4.0,4.0,5.0,
667,0.0,0.0,1.0,
668,0.0,0.0,1.0,
669,2.0,1.0,1.0,
670,1.0,1.0,1.0,
671,1.0,1.0,1.0,
672,1.0,0.0,1.0,
673,1.0,1.0,0.0,
674,1.0,1.0,0.0,
675,3.0,2.0,3.0,
676,0.0,0.0,0.0,
677,0.0,0.0,0.0,
678,0.0,0.0,0.0,
679,0.0,0.0,0.0,
680,0.0,0.0,0.0,
681,0.0,0.0,0.0,
682,0.0,0.0,0.0,
683,0.0,0.0,0.0,
684,0.0,0.0,0.0,
685,0.0,0.0,0.0,
686,0.0,0.0,0.0,
687,0.0,0.0,0.0,
688,0.0,0.0,0.0,
689,0.0,0.0,0.0,
690,0.0,0.0,0.0,
691,1.0,0.0,0.0,
692,1.0,0.0,0.0,
693,1.0,0.0,1.0,
694,0.0,0.0,0.0,
695,0.0,0.0,0.0,
696,1.0,1.0,1.0,
697,0.0,0.0,0.0,
698,0.0,0.0,0.0,
699,1.0,1.0,0.0,
700,2.0,2.0,2.0,
701,2.0,2.0,2.0,
702,0.0,0.0,0.0,
703,3.0,3.0,1.0,
704,3.0,3.0,1.0,
705,1.0,1.0,1.0,
706,0.0,0.0,0.0,
707,0.0,0.0,0.0,
708,1.0,1.0,1.0,
709,1.0,1.0,2.0,
710,1.0,1.0,2.0,
711,0.0,0.0,0.0,
712,2.0,2.0,2.0,
713,2.0,2.0,2.0,
714,7.0,4.0,4.0,
715,0.0,0.0,0.0,
716,0.0,0.0,0.0,
717,0.0,0.0,0.0,
718,3.0,3.0,3.0,
719,3.0,3.0,3.0,
720,1.0,0.0,1.0,
721,0.0,0.0,0.0,
722,0.0,0.0,0.0,
723,0.0,0.0,0.0,
724,1.0,0.0,1.0,
725,1.0,0.0,1.0,
726,0.0,0.0,0.0,
727,4.0,3.0,3.0,
728,4.0,3.0,3.0,
729,1.0,1.0,2.0,
730,0.0,0.0,0.0,
731,0.0,0.0,0.0,
732,1.0,1.0,1.0,
733,0.0,0.0,0.0,
734,0.0,0.0,0.0,
735,0.0,0.0,0.0,
