Pr1,Pr2,Pr3,Pr4,Pr5,Pr6
3.301000000000000000e+03,3.420000000000000000e+02,1.993000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.410000000000000000e+02
3.300000000000000000e+03,3.440000000000000000e+02,1.982000000000000000e+03,3.440000000000000000e+02,1.982000000000000000e+03,3.430000000000000000e+02
3.301000000000000000e+03,3.380000000000000000e+02,1.984000000000000000e+03,3.400000000000000000e+02,1.983000000000000000e+03,3.400000000000000000e+02
3.299000000000000000e+03,3.330000000000000000e+02,1.787000000000000000e+03,3.340000000000000000e+02,1.750000000000000000e+03,3.340000000000000000e+02
3.301000000000000000e+03,3.430000000000000000e+02,1.986000000000000000e+03,3.430000000000000000e+02,1.984000000000000000e+03,3.420000000000000000e+02
3.300000000000000000e+03,3.420000000000000000e+02,1.984000000000000000e+03,3.400000000000000000e+02,1.984000000000000000e+03,3.430000000000000000e+02
3.300000000000000000e+03,3.370000000000000000e+02,1.981000000000000000e+03,3.350000000000000000e+02,1.984000000000000000e+03,3.360000000000000000e+02
3.300000000000000000e+03,3.390000000000000000e+02,1.991000000000000000e+03,3.390000000000000000e+02,1.983000000000000000e+03,3.400000000000000000e+02
3.301000000000000000e+03,3.390000000000000000e+02,1.990000000000000000e+03,3.390000000000000000e+02,1.983000000000000000e+03,3.400000000000000000e+02
3.301000000000000000e+03,3.370000000000000000e+02,1.991000000000000000e+03,3.390000000000000000e+02,1.983000000000000000e+03,3.400000000000000000e+02
3.309000000000000000e+03,3.340000000000000000e+02,1.993000000000000000e+03,3.350000000000000000e+02,1.982000000000000000e+03,3.340000000000000000e+02
3.299000000000000000e+03,3.400000000000000000e+02,1.984000000000000000e+03,3.410000000000000000e+02,1.320000000000000000e+03,3.400000000000000000e+02
3.300000000000000000e+03,3.360000000000000000e+02,1.993000000000000000e+03,3.360000000000000000e+02,1.983000000000000000e+03,3.340000000000000000e+02
3.299000000000000000e+03,3.400000000000000000e+02,1.982000000000000000e+03,3.400000000000000000e+02,1.984000000000000000e+03,3.400000000000000000e+02
3.301000000000000000e+03,3.410000000000000000e+02,1.982000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.400000000000000000e+02
3.301000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.400000000000000000e+02,1.983000000000000000e+03,3.400000000000000000e+02
3.300000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.410000000000000000e+02
3.301000000000000000e+03,3.380000000000000000e+02,1.982000000000000000e+03,3.370000000000000000e+02,1.982000000000000000e+03,3.360000000000000000e+02
3.301000000000000000e+03,3.370000000000000000e+02,1.983000000000000000e+03,3.370000000000000000e+02,1.981000000000000000e+03,3.360000000000000000e+02
3.300000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.400000000000000000e+02
3.300000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.410000000000000000e+02
3.300000000000000000e+03,3.410000000000000000e+02,1.984000000000000000e+03,3.410000000000000000e+02,1.895000000000000000e+03,3.400000000000000000e+02
3.301000000000000000e+03,3.410000000000000000e+02,1.993000000000000000e+03,3.390000000000000000e+02,1.982000000000000000e+03,3.400000000000000000e+02
3.301000000000000000e+03,3.410000000000000000e+02,1.991000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.400000000000000000e+02
3.300000000000000000e+03,3.410000000000000000e+02,1.365000000000000000e+03,3.410000000000000000e+02,1.326000000000000000e+03,3.400000000000000000e+02
3.300000000000000000e+03,3.410000000000000000e+02,1.990000000000000000e+03,3.390000000000000000e+02,1.982000000000000000e+03,3.400000000000000000e+02
3.300000000000000000e+03,3.410000000000000000e+02,1.989000000000000000e+03,3.410000000000000000e+02,1.982000000000000000e+03,3.390000000000000000e+02
3.300000000000000000e+03,3.410000000000000000e+02,1.984000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.410000000000000000e+02
3.302000000000000000e+03,3.410000000000000000e+02,1.984000000000000000e+03,3.420000000000000000e+02,1.983000000000000000e+03,3.410000000000000000e+02
3.300000000000000000e+03,3.410000000000000000e+02,1.984000000000000000e+03,3.420000000000000000e+02,1.983000000000000000e+03,3.410000000000000000e+02
3.301000000000000000e+03,3.400000000000000000e+02,1.380000000000000000e+03,3.410000000000000000e+02,1.410000000000000000e+03,3.400000000000000000e+02
3.300000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.410000000000000000e+02,1.984000000000000000e+03,3.400000000000000000e+02
3.300000000000000000e+03,3.410000000000000000e+02,1.789000000000000000e+03,3.400000000000000000e+02,1.843000000000000000e+03,3.410000000000000000e+02
3.301000000000000000e+03,3.410000000000000000e+02,1.703000000000000000e+03,3.400000000000000000e+02,1.755000000000000000e+03,3.410000000000000000e+02
3.300000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.400000000000000000e+02,1.982000000000000000e+03,3.400000000000000000e+02
3.300000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.400000000000000000e+02,1.982000000000000000e+03,3.400000000000000000e+02
3.300000000000000000e+03,3.410000000000000000e+02,1.983000000000000000e+03,3.400000000000000000e+02,1.983000000000000000e+03,3.400000000000000000e+02
3.300000000000000000e+03,3.390000000000000000e+02,1.544000000000000000e+03,3.400000000000000000e+02,1.548000000000000000e+03,3.400000000000000000e+02
3.300000000000000000e+03,3.380000000000000000e+02,1.579000000000000000e+03,3.380000000000000000e+02,1.596000000000000000e+03,3.380000000000000000e+02
3.300000000000000000e+03,3.390000000000000000e+02,1.991000000000000000e+03,3.390000000000000000e+02,1.982000000000000000e+03,3.400000000000000000e+02
3.301000000000000000e+03,3.390000000000000000e+02,1.990000000000000000e+03,3.390000000000000000e+02,1.983000000000000000e+03,3.390000000000000000e+02
3.301000000000000000e+03,3.390000000000000000e+02,1.990000000000000000e+03,3.390000000000000000e+02,1.983000000000000000e+03,3.390000000000000000e+02
3.300000000000000000e+03,3.370000000000000000e+02,1.991000000000000000e+03,3.390000000000000000e+02,1.982000000000000000e+03,3.390000000000000000e+02
3.300000000000000000e+03,3.400000000000000000e+02,1.990000000000000000e+03,3.390000000000000000e+02,1.983000000000000000e+03,3.390000000000000000e+02
3.301000000000000000e+03,3.360000000000000000e+02,1.995000000000000000e+03,3.350000000000000000e+02,1.982000000000000000e+03,3.350000000000000000e+02
3.313000000000000000e+03,3.340000000000000000e+02,1.994000000000000000e+03,3.340000000000000000e+02,1.982000000000000000e+03,3.350000000000000000e+02
3.316000000000000000e+03,3.360000000000000000e+02,1.993000000000000000e+03,3.340000000000000000e+02,1.981000000000000000e+03,3.350000000000000000e+02
3.315000000000000000e+03,3.340000000000000000e+02,1.991000000000000000e+03,3.350000000000000000e+02,1.982000000000000000e+03,3.340000000000000000e+02
3.305000000000000000e+03,3.340000000000000000e+02,1.992000000000000000e+03,3.340000000000000000e+02,1.982000000000000000e+03,3.330000000000000000e+02
3.300000000000000000e+03,3.380000000000000000e+02,1.855000000000000000e+03,3.390000000000000000e+02,1.837000000000000000e+03,3.400000000000000000e+02
3.300000000000000000e+03,3.360000000000000000e+02,1.783000000000000000e+03,3.410000000000000000e+02,1.682000000000000000e+03,3.390000000000000000e+02
3.301000000000000000e+03,3.380000000000000000e+02,1.461000000000000000e+03,3.390000000000000000e+02,1.407000000000000000e+03,3.380000000000000000e+02
3.300000000000000000e+03,3.370000000000000000e+02,1.682000000000000000e+03,3.400000000000000000e+02,1.673000000000000000e+03,3.380000000000000000e+02
3.300000000000000000e+03,3.370000000000000000e+02,1.983000000000000000e+03,3.380000000000000000e+02,1.984000000000000000e+03,3.370000000000000000e+02
3.300000000000000000e+03,3.360000000000000000e+02,1.983000000000000000e+03,3.370000000000000000e+02,1.982000000000000000e+03,3.370000000000000000e+02
